項次,受贈單位/執行單位,摘要,金額
1," 財團法人台北市現代婦女
基金會"," 贊助""國際三八婦女100週年相關系列活動""","1,642,500         "
2, 屏東海青青弘會, 贊助悠遊卡,"23,059              "
3, 財團法人勵馨基金會, 2010公益悠遊卡記者會，現場義賣競標捐款,"94,444              "
4, 財團法人家扶基金會, 2010公益悠遊卡記者會，現場義賣競標捐款,"94,444              "
5, 財團法人勵馨基金會, 贊助2010年公益悠遊卡,"125,979            "
6, 財團法人家扶基金會, 贊助2010年公益悠遊卡,"125,979            "
7, 伊甸基金會, 贈捐款贈品:海洋天堂悠遊卡,"15,031              "
8, 伊甸基金會," 贊助""伊甸園基金會《海洋天堂》電影""","25,000              "
9, 白永傳紀念教育基金會, 贈捐款贈品悠遊卡,"14,633              "
10, 財團法人艾森豪協會, 贊助『2010兩岸青年領袖會議識別證特製版』,"19,500              "
11, 聯合勸募, 認捐「悠遊花博-聯合勸募」活動「專輯+T恤」50套,"29,500              "
12, 忠泰建築文化藝術基金會, 贊助光祭街頭藝文活動費用,"200,000            "
13, 台南人劇團, 《花木蘭》音樂劇演出贊助款,"400,000            "
14, 紅樹林弦樂四重奏, 贊助紅樹林弦樂四重奏藝文活動,"100,000            "
15, 聯合勸募, 悠遊花博活動-CD及DVD 2487套,"239,000            "
16, 聯合勸募, 悠遊花博活動-潮T 1764件,"208,152            "
,,小    計(元)    ,"3,357,221"
