項次,受贈單位/執行單位,摘要票卡,金額
1, 紅樹林弦樂四重奏, 贊助紅樹林弦樂四重奏藝文活動,"100,000            "
2," 財團法人天使心家族社會
福利基金會", 「336愛奇兒日」活動,"100,000            "
3," 財團法人中華民國建國一
百年基金會"," 活動贊助
V"," 34,545              "
4," 財團法人中華民國建國一
百年基金會"," 活動贊助""元旦升值典禮新人聯婚個性卡
V"," 450,145            "
5, 臺北市原住民族教師協會, 贊助2011北市原住民國小族語朗讀競賽活動費,"20,000              "
6," 財團法人天主教善牧社會
福利基金會"," 艋舺悠遊卡商品義賣,聯合捐贈費","70,430              "
7, 財團法人21世紀基金會, 贊助數位影像新美學論壇活動,"110,000            "
8," 財團法人中華民國建國一
百年基金會"," 贊助建國一百年悠遊卡
V"," 529,855            "
9," 財團法人中華民國佛教慈
濟慈善事業基金會", 【慈濟45週年靜思語】活動捐贈,"390,000            "
10," 社團法人中華民國紅心字
會"," 885贈卡1000張
V"," 210,854            "
11," 財團法人艾森豪獎金中華
民國協會"," 贊助""兩岸青年領袖研習營活動""識別證
V"," 49,300              "
12," 中華社會福利聯合勸募協
會", 悠遊花博 聯合勸募捐贈活動,"86,656              "
13," 財團法人國軍暨家屬扶助
基金會", 捐贈財團法人國軍暨家屬扶助基金會,"20,000              "
14," 社團法人中華智慧型運輸
系統協會"," 贊助ITS協會""2011第11屆智慧型運輸系統亞太論壇暨交通科
技展""","100,000            "
,,小    計(元)    ,"2,271,785"
