項次,受贈單位/執行單位,摘要,金額
1, 大甲媽福利基金會, 大甲媽平安悠遊卡回饋鎮瀾宮慈善捐款,"120,000         "
2, 臺北市原住民族教師協會, 贊助2013台北市原住民國中小族語朗讀競賽活動,"20,000            "
3," 財團法人孫運璿學術基金
會", 贊助古蹟活化利用經費,"50,000            "
4," 財團法人台灣兒童暨家庭
扶助基金會", 2013年悠遊卡885拍賣捐款,"16,000            "
5,"財團法人台灣兒童暨家庭扶
助基金會", 贊助2013公益悠遊卡紀念版,"261,024         "
6," 財團法人艾森豪獎金中華
民國協會"," 贊助""兩岸青年領袖研習營活動識別證","37,100            "
7," 社團法人臺北市雙溪扶輪
社", 贊助雙溪扶輪青年服務團「捷運心旅行」活動,"5,500              "
8, 財團法人大鵬文教基金會, 培育國軍優季子弟贊助,"100,000         "
9, 國立宜蘭大學, 102年全大運活動,"90,000            "
10," 台北市政府原住民族事務
委員會"," 與華碩電腦共同捐贈台北市原住民低收入戶大専生平板電腦
61台","616,972         "
11, 高雄市政府社會局, 【我愛高雄悠遊卡】公益贊助,"500,000         "
12," 台北市政府原住民族事務
委員會", 2013全國大専校院資訊應用服務創新競賽贊助,"342,857         "
13,臺北市立動物園, 贊助貓熊悠遊卡,"141,938         "
14, 臺北市立動物園, 依合約提撥回饋保育金,"314,580         "
15," 台北市政府原住民族事務
委員會"," 與華碩電腦共同捐贈台北市原住民低收入戶大専生平板電腦追
加20台","218,152         "
16," 台北市士林區文昌國民小
學", 捐贈｢臺北好好玩-手牽手做朋友友誼列車｣活動専款,"1,500,000      "
17," 社團法人中華智慧型運輸
系統協會", ITS協會贊助款,"40,000            "
18," 臺北市體育總會啦啦隊協
會", 贊助舉辦歲末慈善贈白米活動,"20,000            "
19," 中華民國紅十字會台北市
分會", 紅十字會捐款,"36,000            "
,,小    計(元)    ,"4,430,123"
,,,
