項次,受贈單位/執行單位,摘要,金額
1," 財團法人大甲媽社會福利
基金會", 大甲媽悠遊卡-回饋鎮瀾宮慈善捐款,"120,000            "
2, 財團法人台北行天宮, 祈福祭祀樂捐,"1,200                 "
3, 社團法人台灣失智症協會, 失智症認識與預防講師費轉捐贈,"4,000                 "
4," 社團法人中華智慧型運輸
系統協會", 104年度社團法人中華智慧型運輸系統協會贊助,"40,000              "
5, 財團法人輔仁大學," 贊助廣告系畢業製作""悠遊卡大學生市場推廣企劃案""","52,000              "
6, 財團法人台北行天宮, 祈福祭祀樂捐,600                    
7," 財團法人基督教臺北市私
立伯大尼兒少家園", 贊助「八八五公益」活動悠遊卡,"166,877            "
8," 財團法人中華民國唐氏症
基金會", 贊助「八八五公益」活動悠遊卡,"174,069            "
9," 社團法人中華智慧型運輸
系統協會", 104年年會暨智慧運輸應用研討會贊助款,"20,000              "
10," 社團法人臺灣酒駕防制社
會關懷協會", 贊助Q版柯P愛家人不酒駕公益悠遊卡,"78,329              "
11," 財團法人台灣兒童暨家庭
扶助基金會宜蘭分事務所", 2015童玩節悠遊卡公益捐款,"200,000            "
12," 財團法人慈懷社會福利基
金會", 2015童玩節悠遊卡公益捐款,"200,000            "
13," 財團法人宜蘭縣私立佛教
幸夫社會福利慈善事業基金", 2015童玩節悠遊卡公益捐款,"200,000            "
14,"會 財團法人宜蘭縣私立神愛
兒童之家", 2015童玩節悠遊卡公益捐款,"200,000            "
15," 財團去人宜蘭縣私立竹安
身心障礙養護院", 2015童玩節悠遊卡公益捐款,"100,000            "
16, 財團法人天主教靈醫會," 2015童玩節悠遊卡公益捐款""聖嘉民啓智中心""","100,000            "
17," 社團法人台灣環境保護聯
盟", 捐款,"15,000              "
18," 財團法人台灣兒童暨家庭
扶助基金會", 波多野結衣悠遊卡售卡所得捐贈,"1,520,000         "
19," 財團法人靖娟兒童安全文
教基金會", 波多野結衣悠遊卡售卡所得捐贈,"1,520,000         "
20," 社團法人台北市行無礙資
源推廣協會", 波多野結衣悠遊卡售卡所得捐贈,"1,520,000         "
21," 社團法人臺灣酒駕防制社
會關懷協會", 贊助Lamigo特製版-愛家人不酒駕悠遊卡,"78,367              "
22," 社團法人台灣健康人權行
動協會", 贊助台灣健康人權行動公益悠遊卡,"135,446            "
23," 財團法人基督教臺北市私
立伯大尼兒少家園"," 2016新年賀卡設計元素稿費公益捐款,建築基金","50,000              "
24," 社團法人臺灣酒駕防制社
會關懷協會", 贊助協會辦理台灣大車隊上線記者會活動費,"100,000            "
25,宜蘭縣政府文化局, 贊助童玩節悠遊卡,"9,944                 "
,,小    計(元)    ,"6,605,832"
