項次,受贈單位/執行單位,摘要票卡,金額
1, 台北市內湖國際同濟會," 贊助第六屆寒冬送暖園遊會活動悠遊卡
V"," 11,733                "
2," 社團法人臺灣酒駕防制社會
關懷協會", 台北市府大樓北牆刊版冠名贊助,"50,000                "
3," 財團法人自由思想學術基金
會", 第四屆共生音樂節活動贊助,"100,000              "
4, 財團法人蕭泰然文教基金會," 福爾摩沙之聲音樂會活動贊助蕭泰然公益悠遊卡
V"," 102,555              "
5," 財團法人陳文成博士紀念基
金會", 二二九人權辦桌活動贊助,"70,000                "
6," 社團法人臺灣酒駕防制社會
關懷協會", 台北市政府社會局105年度共同行銷愛心碼甄選計劃贊助,"300,000              "
7, 財團法人蕭泰然文教基金會, 105/2/27-28福爾摩沙之聲-蕭泰然紀念音樂會活動贊助,"1,000,000          "
8," 財團法人中華民國唐氐症基
金會"," 2016希望.溫暖.愛,資助唐寶寶自立成長計劃活動贊助","200,000              "
9," 財團法人台灣兒童暨家庭扶
助基金會", 夢想悠遊卡畫作20名佳作之家扶小朋友獎助學金,"20,000                "
10," 臺南市政府社會局社會救助
金專戶", 台南地震賑災,"1,010,214          "
11, 國立中正大學, 2016中正藝術季活動贊助,"20,000                "
12, 台灣勞工陣線協會," 105/5/4""台灣如何走出血汗經濟之路""研討會活動贊助","100,000              "
13," 財團法人台北市七星生態保
育基金會"," 贊助2016臺北自然生態悠遊卡
V"," 27,184                "
14," 財團法人台灣兒童暨家庭扶
助基金會", 悠遊夢想計畫-售卡所得捐贈獎助學金,"130,000              "
15, 社團法人台中市聾人協會, 105年度互助互愛~聽聾端午感恩活動捐款,"                  50,000"
16," 財團法人陳文成博士紀念基
金會", 第十二屆人權之路青年體驗營活動贊助,"               100,000"
17," 社團法人臺灣酒駕防制社會
關懷協會"," 贊助Q版柯P愛無價不酒駕公益悠遊卡
V","                   77,171"
18, 財團法人台東基督教醫院, BeBe與UU將聯手響應「台東地區尼伯特風災一日捐」,"               900,000"
19, 馬偕紀念醫院台東分院, BeBe與UU將聯手響應「台東地區尼伯特風災一日捐」,"               900,000"
20, 財團法人新文化基金會," 第25屆新文化研習營「點亮新時代、首選新世代」研討會活
動贊助","               100,000"
21," 社團法人台灣障礙者權益促
進會", 2016受害者及家屬 關懷喘息之旅活動贊助,"               300,000"
22," 社團法人台灣音像教育行動
協會", 速配工作坊暑假營活動贊助,"               100,000"
23," 財團法人台灣兒童暨家庭扶
助基金會", 邀請雲嘉南地區孩童故宮南院一日遊活動贊助,"               140,000"
24," 社團法人中華民國表演藝術
教育推廣協會", 贊助六藝劇團文化經典親子劇,"                  60,000"
25, 中華民國運輸學會, 2016年年會暨學術論文國際研討會活動贊助,"                  20,000"
26," 財團法人台灣兒童暨家庭扶
助基金會", 悠遊夢想-故宮南院活動:捐贈孩童畫作入選佳作獎助學金,"                  10,000"
27," 財團法人華山社會福利慈善
事業基金會", 愛老人-送愛到家「熊大心」小額捐款活動贊助,"               101,000"
28, 紙風車劇團, 紙風車的魔法書-悠遊北投活動演出贊助,"               500,000"
29," 財團法人台灣基督長老教會
馬偕紀念社會事業基金會", 送愛到台東105/12/7感恩募款音樂餐會,"                  10,000"
30, 台北網路扶輪社, 雲林縣水林鄉大興國小師生城鄉交流活動贊助,"                  10,000"
31," 財團法人台灣兒童暨家庭扶
助基金會", 悠遊夢想-故宮南院活動:捐贈家扶基金會11/21舉辦記者會,"                  50,000"
32," 財團法人台灣兒童暨家庭扶
助基金會", 悠遊夢想-故宮南院活動:加碼捐贈,"               200,000"
33," 財團法人台灣兒童暨家庭扶
助基金會"," 夢想公益悠遊卡-故宮南院
V","                197,809"
34," 社團法人台北市行無礙資源
推廣協會", 贊助購置行動障礙者輔助器材,"               260,000"
35, 雲林縣政府, 社會救助金-自動體外心臟電擊法顫器50組,"            4,000,000"
,,小    計(元)    ,"11,227,666"
