項次,受贈單位/執行單位,摘要票卡,金額
1," 財團法人桃園縣私立脊髓
損傷潛能發展中心", 飛輪愛無限-新生命之家二期工程建設經費,"10,000           "
2, 松山慈惠堂, 贊助弘揚母愛音樂會暨慈悲楷模.孝悌楷模表揚,"810,000        "
3," 社團法人台灣體育運動競
技協會", 贊助2014Mini Run山徑越野路跑活動,"30,000           "
4, 台北市魯凱族文教協會, 贊助2014都會魯凱族豐年祭活動,"20,000           "
5," 財團法人麥當勞叔叔之家
慈善基金會"," 贊助885公益活動悠遊卡
V"," 239,532        "
6," 財團法人伊甸社會福利基
金會", 百萬大沐集公益活動捐款(老人安養照顧社區服務計劃),"440,910        "
7, 中華民國電腦學會, 捐助103年度助學金_研究所組獎助學金,"45,000           "
8," 財團法人台灣兒童暨家庭
扶助基金會", 聯名卡公益活動-扶幼捐款,"230,000        "
9," 社團法人中華智慧型運輸
系統協會", 103年年會暨智慧運輸應用研討會贊助款,"20,000           "
10, 中國文化大學," 捐贈""智慧城市研究中心業務發展經費""","80,000           "
11, 財團法人輔仁大學," 捐贈""廣告傳播學系廣告系畢展専用""","78,000           "
12, 臺北市立動物園, 依合約提撥回饋保育金,"85,420           "
13," 國立東華大學-數位機會中
心"," 贊助林智勝全紀錄紀念版悠遊卡
V"," 61,804           "
14," 臺北市政府-103年度城市
交流活動"," 贊助晶片悠遊卡
V"," 26,423           "
15, 高雄市政府社會局, 高雄81氣爆災害損款/義賣捐款,"1,758,150     "
16," 台北市中山區懷生國民小
學"," 贊助""台北好好玩-手牽手做朋友友誼列車二部曲""活動經費","839,035        "
17," 財團法人台灣兒童暨家庭
扶助基金會", 聯名卡公益活動捐款,"4,985,381     "
,,小    計(元)    ,"9,759,655"
